umap_x,umap_y,umap_z,department,culture,medium,object_name,object_begin_date
7.0787234,0.20912687,8.4936075,Drawings and Prints,Unknown,Engraving,Unknown,1587
1.428866,-0.029045658,8.72288,Drawings and Prints,Unknown,Woodcut,Print,1916
-4.006342,-16.113434,3.6918848,Drawings and Prints,Unknown,Commercial color lithograph,Print,1910
-1.0016689,-2.399805,-1.3917074,Drawings and Prints,Unknown,Illustrations: transfer lithographs,Book,1819
-3.8509336,-2.4430897,-10.548867,Drawings and Prints,Unknown,Commercial color photolithograph,Print,1923
-4.386068,8.487313,-4.921888,European Sculpture and Decorative Arts,"French, Paris",Silver,Candelabra,1768
12.272231,5.1016603,6.499969,Drawings and Prints,Unknown,Commercial color lithograph with metal trim,Print baseball card,1909
11.326627,-0.4828344,-1.6505624,Drawings and Prints,Unknown,Lithograph in three colors,Print,1958
5.072566,-4.231959,-0.28653884,Drawings and Prints,Unknown,"Pen and black ink, brown wash, highlighted with white squared in red chalk",Drawing,1500
0.54008156,-3.335029,4.42635,Drawings and Prints,Unknown,Etching,Print,1521
8.594318,-2.8384185,-2.8032491,Islamic Art,Unknown,Opaque watercolor on paper,Illustrated album leaf or single work,1200
-12.975454,5.9670486,-4.497972,Egyptian Art,Unknown,Clay (unfired),Sealing,-2030
